source,period,Label,count
0,2015,-1,5
0,2015,1,21
0,2016,-1,7
0,2016,1,44
0,2017,-1,3
0,2017,1,7
1,2016,1,3
2,2015,1,1
3,2014,1,1
3,2015,-1,1
6,2015,-1,2
6,2015,1,16
8,2014,1,1
9,2014,1,1
9,2015,1,1
10,2014,1,2
10,2015,-1,2
10,2015,1,11
10,2016,1,11
11,2015,1,1
11,2016,1,2
12,2014,-1,2
12,2014,1,19
12,2015,-1,2
12,2015,1,22
12,2016,1,25
13,2014,1,1
16,2016,1,2
16,2017,1,3
18,2016,1,1
19,2017,1,5
20,2016,1,1
21,2014,1,7
21,2015,1,5
21,2017,-1,1
21,2017,1,2
22,2016,1,1
22,2017,1,5
23,2016,1,3
23,2017,1,2
24,2017,1,2
26,2016,1,2
28,2014,1,18
28,2015,1,21
28,2016,1,2
29,2014,1,1
30,2016,1,6
32,2014,1,8
32,2015,1,2
32,2017,1,1
33,2015,1,1
33,2016,1,1
33,2017,1,1
36,2014,1,2
36,2015,1,1
37,2015,1,1
38,2017,1,2
39,2016,1,1
40,2014,1,7
40,2015,1,8
40,2016,1,8
40,2017,1,2
41,2014,1,1
42,2014,1,31
42,2015,1,16
42,2016,1,1
43,2016,1,1
44,2014,1,3
44,2015,1,5
44,2016,1,2
44,2017,1,2
45,2014,-1,1
45,2014,1,13
45,2015,1,8
45,2016,-1,1
45,2016,1,7
45,2017,1,1
46,2015,1,1
47,2014,1,2
47,2015,-1,1
47,2016,-1,1
47,2016,1,1
48,2015,1,1
48,2016,1,3
49,2016,1,6
50,2015,1,3
51,2017,1,1
53,2014,1,1
54,2014,1,1
54,2017,1,1
55,2016,1,2
57,2016,1,8
59,2014,1,1
61,2014,-1,1
61,2014,1,28
61,2015,1,34
61,2016,1,21
61,2017,1,1
62,2014,1,1
62,2015,-1,1
62,2015,1,11
62,2016,-1,4
62,2016,1,69
62,2017,-1,2
62,2017,1,29
63,2016,1,1
64,2016,1,1
65,2016,1,1
66,2014,1,1
67,2015,1,1
68,2015,1,1
68,2016,1,1
69,2014,-1,1
69,2014,1,15
69,2015,1,11
70,2016,1,1
71,2014,1,1
72,2016,1,1
73,2015,1,5
73,2016,-1,1
73,2016,1,1
74,2015,1,1
75,2016,-1,1
76,2014,1,1
76,2015,1,1
77,2014,-1,1
77,2014,1,1
77,2016,1,1
81,2014,-1,1
81,2014,1,51
81,2015,-1,4
81,2015,1,36
81,2016,-1,2
81,2016,1,27
81,2017,1,6
82,2017,1,1
83,2015,1,1
84,2014,1,12
84,2015,-1,2
84,2015,1,20
84,2016,1,48
84,2017,-1,3
84,2017,1,17
85,2014,-1,1
87,2016,1,2
90,2014,-1,1
91,2014,1,3
91,2015,1,23
91,2016,1,19
92,2014,1,2
92,2015,1,8
92,2016,1,4
92,2017,1,2
93,2015,1,2
94,2017,1,2
96,2017,1,1
97,2014,1,1
98,2016,1,1
99,2017,1,1
101,2017,1,1
102,2014,-1,1
102,2014,1,2
102,2015,-1,1
102,2015,1,6
102,2016,1,19
102,2017,1,9
103,2016,1,1
104,2016,1,1
106,2016,1,1
106,2017,1,2
107,2014,1,5
107,2016,1,6
108,2015,1,1
109,2016,1,2
111,2016,1,1
112,2014,1,1
112,2015,1,1
113,2014,1,1
114,2015,1,3
114,2016,1,1
114,2017,1,1
115,2014,1,4
116,2016,1,1
117,2017,1,1
118,2015,1,3
119,2016,1,1
120,2015,1,1
121,2014,-1,1
121,2014,1,23
121,2015,1,13
121,2016,-1,1
121,2016,1,12
121,2017,1,3
122,2014,1,1
122,2015,-1,1
122,2015,1,3
122,2016,1,4
122,2017,1,2
123,2017,-1,2
123,2017,1,6
124,2015,1,2
125,2016,1,1
126,2017,1,1
127,2016,1,1
128,2015,1,2
129,2015,1,1
130,2014,1,2
131,2015,1,2
132,2014,1,1
132,2015,-1,1
132,2015,1,4
132,2017,1,1
134,2014,-1,3
134,2014,1,223
134,2015,-1,1
134,2015,1,69
134,2016,1,16
134,2017,1,7
135,2016,1,4
136,2014,1,2
136,2016,1,1
137,2015,1,1
138,2016,1,1
141,2015,1,2
142,2014,1,1
143,2014,1,1
144,2015,1,2
144,2016,1,1
145,2014,1,7
145,2015,1,8
145,2016,1,11
145,2017,1,4
146,2014,1,2
146,2015,1,4
146,2016,1,7
146,2017,1,2
147,2014,-1,1
147,2014,1,1
147,2015,-1,1
147,2015,1,1
148,2014,1,2
148,2015,1,13
148,2016,-1,1
148,2016,1,13
148,2017,-1,1
148,2017,1,13
150,2014,-1,3
150,2014,1,30
150,2015,-1,2
150,2015,1,32
150,2016,-1,2
150,2016,1,22
150,2017,1,7
151,2015,1,1
151,2017,1,1
152,2016,1,1
154,2016,1,1
156,2014,1,1
157,2015,1,1
158,2016,1,1
159,2016,1,1
160,2016,1,1
161,2015,1,1
162,2014,1,1
163,2015,1,1
164,2014,1,1
165,2014,1,3
166,2015,1,2
166,2017,1,1
168,2014,1,2
169,2016,1,2
170,2014,1,1
170,2015,1,2
170,2016,1,2
170,2017,1,3
171,2015,1,3
172,2014,1,13
172,2015,-1,2
172,2015,1,17
172,2016,-1,1
172,2016,1,18
172,2017,1,2
173,2014,1,4
173,2015,1,2
173,2016,1,1
