source,period,Label,count,total_count
45286,2015-12-27,-1,53,53
28959,2016-05-25,-1,28,28
47822,2017-01-26,-1,27,27
38801,2015-05-19,-1,23,23
52054,2017-04-29,-1,22,22
38801,2014-02-16,-1,21,21
38801,2015-07-03,-1,21,21
38801,2015-04-15,-1,20,20
47822,2017-03-25,-1,20,20
52054,2017-04-28,-1,20,20
38801,2014-06-02,-1,20,20
47822,2016-11-03,-1,19,19
38474,2015-11-30,-1,19,19
38801,2015-02-19,-1,19,19
47822,2017-02-17,-1,18,18
38801,2014-02-10,-1,18,18
38801,2015-09-10,-1,18,18
36078,2015-12-16,-1,18,18
59202,2016-04-15,-1,18,18
38801,2015-02-02,-1,18,18
47822,2017-01-08,-1,18,18
38801,2014-04-16,-1,18,18
38801,2015-01-29,-1,17,17
38801,2015-11-30,-1,17,17
38801,2015-09-11,-1,17,17
38801,2015-04-20,-1,17,17
38801,2015-02-03,-1,17,17
47822,2016-10-06,-1,17,17
52054,2017-04-30,-1,17,17
38801,2015-03-20,-1,17,17
38801,2014-03-05,-1,16,16
38801,2015-05-06,-1,16,16
38801,2014-05-07,-1,16,16
33744,2016-03-29,-1,16,16
38801,2015-05-10,-1,16,16
38801,2015-02-10,-1,16,16
38801,2015-02-09,-1,16,16
38801,2015-01-31,-1,16,16
38801,2015-01-12,-1,16,16
38801,2015-01-16,-1,16,16
39859,2015-04-21,-1,16,16
38801,2014-09-30,-1,15,15
38801,2014-12-10,-1,15,15
38801,2015-10-13,-1,15,15
38801,2015-10-11,-1,15,15
38801,2014-09-03,-1,15,15
38801,2015-06-21,-1,15,15
38801,2015-03-24,-1,15,15
38801,2014-07-17,-1,15,15
38801,2014-07-08,-1,15,15
38801,2015-04-27,-1,15,15
38801,2014-02-18,-1,15,15
38801,2015-11-24,-1,15,15
38801,2015-01-15,-1,15,15
38801,2015-02-17,-1,15,15
38801,2014-07-03,-1,15,15
38801,2014-06-05,-1,15,15
38801,2014-05-05,-1,15,15
38801,2015-08-25,-1,14,14
38801,2014-11-26,-1,14,14
38801,2015-10-18,-1,14,14
38801,2014-04-02,-1,14,14
38801,2014-09-06,-1,14,14
38801,2014-09-09,-1,14,14
36078,2017-03-25,-1,14,14
38801,2017-04-10,-1,14,14
38801,2014-10-09,-1,14,14
38801,2015-01-09,-1,14,14
38801,2015-04-04,-1,14,14
52054,2017-04-26,-1,14,14
38801,2015-02-14,-1,14,14
38801,2014-10-01,-1,14,14
38801,2015-12-16,-1,14,14
38801,2015-09-22,-1,14,14
38801,2016-01-04,-1,14,14
38474,2015-11-24,-1,14,14
38801,2014-09-01,-1,14,14
38801,2015-05-17,-1,14,14
38801,2015-07-07,-1,14,14
38801,2015-01-04,-1,14,14
38801,2015-04-14,-1,14,14
38801,2014-07-28,-1,14,14
38801,2015-03-17,-1,14,14
38801,2015-01-13,-1,14,14
38801,2015-12-12,-1,14,14
38801,2014-06-19,-1,14,14
38801,2016-08-12,-1,14,14
38801,2015-03-29,-1,14,14
38801,2015-04-03,-1,14,14
38801,2014-07-25,-1,14,14
38801,2015-05-12,-1,14,14
38801,2015-06-03,-1,14,14
38801,2014-05-08,-1,14,14
38801,2014-05-01,-1,14,14
38801,2016-02-28,-1,13,13
38801,2015-07-19,-1,13,13
38801,2015-08-24,-1,13,13
38801,2015-10-14,-1,13,13
38801,2015-09-21,-1,13,13
38801,2014-09-28,-1,13,13
38801,2014-10-18,-1,13,13
38801,2014-01-06,-1,13,13
38801,2014-12-09,-1,13,13
24282,2016-09-02,-1,13,13
38801,2015-07-18,-1,13,13
38801,2014-11-20,-1,13,13
38801,2015-05-26,-1,13,13
38801,2014-05-14,-1,13,13
38801,2015-05-04,-1,13,13
38474,2015-12-16,-1,13,13
38474,2015-12-08,-1,13,13
38474,2015-11-26,-1,13,13
38801,2014-06-27,-1,13,13
38801,2015-05-14,-1,13,13
38801,2014-05-29,-1,13,13
38801,2015-05-01,-1,13,13
38801,2014-06-16,-1,13,13
38801,2015-03-27,-1,13,13
52054,2017-04-27,-1,13,13
36078,2017-02-22,-1,13,13
38801,2015-02-13,-1,13,13
38801,2015-02-16,-1,13,13
38801,2015-03-03,-1,13,13
38801,2015-02-05,-1,13,13
38801,2014-10-07,-1,13,13
38801,2014-10-28,-1,13,13
38801,2014-09-11,-1,13,13
38801,2014-09-07,-1,12,12
38801,2015-10-24,-1,12,12
38801,2015-01-06,-1,12,12
38801,2016-04-13,-1,12,12
38801,2015-02-04,-1,12,12
38801,2015-02-01,-1,12,12
38801,2014-11-08,-1,12,12
38801,2014-02-08,-1,12,12
38801,2015-12-17,-1,12,12
38801,2014-11-03,-1,12,12
38801,2015-02-23,-1,12,12
38801,2014-07-31,-1,12,12
38801,2015-11-04,-1,12,12
38801,2015-03-26,-1,12,12
38801,2015-03-08,-1,12,12
38801,2017-01-10,-1,12,12
38801,2015-03-22,-1,12,12
38801,2015-02-11,-1,12,12
38801,2014-12-30,-1,12,12
38801,2014-07-14,-1,12,12
38801,2016-06-18,-1,12,12
38801,2015-10-19,-1,12,12
38801,2014-02-06,-1,12,12
38801,2016-10-17,-1,12,12
32254,2014-12-12,-1,12,12
38801,2016-06-15,-1,12,12
38801,2014-10-15,-1,12,12
38801,2015-11-26,-1,12,12
38801,2014-08-27,-1,12,12
38801,2014-09-17,-1,12,12
38801,2015-07-30,-1,12,12
38801,2015-05-18,-1,12,12
38801,2014-05-02,-1,12,12
38801,2014-04-28,-1,12,12
38801,2014-11-05,-1,12,12
38801,2015-08-17,-1,12,12
38801,2015-06-30,-1,12,12
38801,2014-04-03,-1,12,12
38801,2015-08-16,-1,12,12
38474,2015-12-15,-1,12,12
38801,2016-06-19,-1,12,12
38801,2014-03-21,-1,12,12
38801,2017-03-27,-1,12,12
30437,2014-12-26,-1,12,12
38801,2014-08-02,-1,12,12
59202,2016-09-25,-1,12,12
38801,2015-01-22,-1,12,12
38801,2015-01-18,-1,12,12
38801,2016-07-18,-1,12,12
38801,2015-05-29,-1,12,12
36078,2017-01-26,-1,12,12
38801,2015-05-28,-1,12,12
38801,2014-02-25,-1,12,12
38801,2015-08-19,-1,12,12
38801,2015-08-18,-1,12,12
38801,2014-06-12,-1,11,11
38801,2015-03-30,-1,11,11
52054,2017-04-25,-1,11,11
38801,2014-02-12,-1,11,11
38801,2015-01-28,-1,11,11
38801,2015-10-22,-1,11,11
38801,2015-10-04,-1,11,11
38801,2015-02-28,-1,11,11
38801,2014-05-09,-1,11,11
38801,2015-07-31,-1,11,11
38801,2015-08-10,-1,11,11
36078,2016-10-24,-1,11,11
38801,2015-08-05,-1,11,11
38801,2016-09-19,-1,11,11
38801,2014-04-20,-1,11,11
38801,2014-02-22,-1,11,11
38801,2014-02-23,-1,11,11
38801,2014-04-05,-1,11,11
38801,2016-08-22,-1,11,11
38801,2014-11-17,-1,11,11
38801,2014-05-15,-1,11,11
38801,2014-12-14,-1,11,11
38801,2015-07-02,-1,11,11
38801,2016-09-12,-1,11,11
38801,2014-07-22,-1,11,11
38801,2015-10-06,-1,11,11
38801,2015-04-09,-1,11,11
38801,2015-04-23,-1,11,11
38801,2014-06-30,-1,11,11
38801,2015-09-24,-1,11,11
38801,2015-09-23,-1,11,11
38801,2016-07-15,-1,11,11
38801,2015-10-09,-1,11,11
38801,2017-04-05,-1,11,11
38801,2014-10-03,-1,11,11
38801,2017-04-04,-1,11,11
38801,2016-03-29,-1,11,11
38801,2015-10-12,-1,11,11
