source,total_count
38801,27636
59865,21170
14786,9503
39859,7839
36078,6784
54891,6658
11908,6583
32537,6039
27588,5963
46934,5360
33442,4504
10609,3850
13626,3765
67131,3324
2300,3021
55043,2749
20637,2640
25192,2532
48375,2460
57390,2412
27108,2383
47970,2346
57031,2314
3995,2211
26479,2137
37787,2104
34921,2072
49263,2072
22623,2045
55556,2003
12740,1959
17357,1955
47170,1948
24809,1903
24282,1824
20568,1791
26367,1707
25016,1584
8156,1549
37235,1517
55903,1462
40059,1456
49144,1406
31923,1397
62440,1393
16944,1377
30784,1377
16874,1359
18858,1355
2914,1346
26156,1338
64409,1319
22638,1314
21133,1305
8619,1303
528,1294
62349,1252
9928,1250
11227,1222
53816,1210
29295,1187
21734,1163
45259,1159
25123,1135
15484,1134
24048,1123
52940,1122
53186,1121
60564,1113
63397,1093
49487,1079
23338,1066
63459,1048
27780,1035
17895,1016
30096,1015
49966,1012
4322,1005
28959,997
50520,996
63570,989
33807,979
49986,965
47001,962
59276,952
2485,950
66095,948
50482,944
54913,943
38709,942
50007,942
5906,928
12636,927
29125,918
42393,913
62660,904
36208,894
64499,893
46559,887
31519,886
15471,883
41237,867
15022,859
61078,854
5640,841
51337,839
44102,824
62628,817
64117,812
58544,810
20027,808
38474,806
44177,791
64404,786
53058,785
6781,779
2746,768
24352,760
20403,743
17368,735
667,732
36856,725
60799,724
27101,724
21175,719
28693,717
66335,710
875,708
15091,705
11987,701
20188,697
54535,692
39013,687
52327,681
66929,677
47700,676
9382,676
526,674
31926,671
49307,671
5908,670
33392,668
28829,661
52181,646
58553,638
419,636
63879,633
52054,633
9230,633
2478,631
32274,629
25960,629
62015,628
32134,627
56226,620
10589,619
11240,617
45310,616
2191,607
58241,603
13881,600
15468,599
63587,598
57971,597
63354,597
20917,590
287,588
38700,587
29337,585
34905,584
30646,583
11115,583
55393,575
51130,569
42020,568
45312,567
17984,564
35937,563
55811,561
18855,560
41704,559
45544,558
20525,556
6111,554
44935,552
20862,548
22852,548
11916,548
11249,547
49667,545
305,544
60723,543
37065,542
19880,538
5428,531
37484,523
47995,522
20270,520
12492,516
53142,508
20784,507
54240,505
20795,505
62857,501
33275,501
66613,500
5701,491
39547,486
65828,482
42011,481
46988,479
21963,478
41481,478
15795,475
7324,475
61426,474
636,473
19261,472
25608,466
54657,465
27228,465
40519,463
2522,460
35845,458
22966,457
59915,453
37349,452
28753,452
14616,451
46682,450
64942,449
37959,449
57401,447
37662,447
20355,446
52728,446
30194,443
14886,441
12678,441
33554,441
47214,440
60876,436
60248,435
59045,434
11588,428
64500,428
1397,427
23653,427
63021,426
4954,425
7558,423
30414,423
27409,422
6698,418
47822,417
56124,415
7286,415
11787,415
29777,415
44600,414
60424,414
29783,414
18476,414
52034,413
64659,411
26015,409
4925,409
22662,406
43854,405
51821,403
55431,401
22294,401
41130,399
36115,399
32300,398
58781,397
8127,397
48899,395
13841,393
14895,393
49134,389
37799,388
50323,388
54290,388
20630,388
58438,388
65296,387
6318,383
10158,382
6225,381
14685,381
26493,381
43549,380
51026,380
60373,379
6672,378
58759,378
14133,377
26603,375
50422,374
45479,374
62831,372
37985,372
65843,371
7182,371
23416,364
19606,364
42389,363
25816,363
534,361
35418,360
64017,360
42997,359
11412,356
32091,356
28655,355
67087,354
13936,354
57258,354
65995,353
24584,353
49896,352
37309,352
54263,351
471,350
14147,349
32745,347
46661,345
59597,345
17937,345
15669,344
17510,344
2335,344
47857,343
33744,342
49768,342
45681,342
53666,341
34302,341
27473,340
59193,339
5119,339
64210,337
18243,336
3108,336
26536,336
11259,334
16141,334
27245,333
1466,332
45620,332
36419,331
55442,330
19223,330
29824,329
54066,326
25172,326
43758,325
61079,323
36528,323
48372,323
3010,322
12106,321
134,319
61084,319
14811,319
60098,319
25843,318
8738,318
37396,317
816,317
20589,316
27472,316
27762,316
61269,315
41343,315
26798,314
26903,313
48823,312
32840,309
49190,308
9531,307
24265,307
15846,306
9972,306
15167,305
14716,305
5436,304
5381,303
35369,303
51295,303
42534,302
62775,302
40853,302
43392,302
9288,302
25957,302
49650,301
11663,301
49919,301
58713,300
6809,299
55826,299
40803,299
27726,299
18921,297
33300,297
5899,296
36235,296
45000,295
11875,295
21946,295
16781,294
59475,293
36472,292
8536,291
52172,291
54630,290
16656,289
45522,289
16560,289
12833,288
45288,287
44507,286
46192,286
11600,283
57081,282
66409,282
45621,281
8959,281
36203,281
47954,281
24740,280
9310,280
3121,278
23212,277
3804,276
58011,274
13237,274
65304,274
30554,273
51105,273
7348,272
12584,272
55163,272
38154,272
30585,270
2869,270
7183,269
63532,268
28491,267
37587,266
17941,266
52408,266
41377,265
22787,265
58278,265
61673,264
61260,263
62654,262
26814,262
14336,262
60075,262
6505,262
65018,261
9565,260
47728,260
59202,259
12874,259
59196,259
43524,258
27415,258
48855,258
65146,258
66839,258
63205,258
55385,257
15368,257
17787,257
57673,256
13475,256
32721,256
46652,255
26297,254
60066,254
54260,254
53197,253
15850,253
60590,253
19840,253
35334,251
57440,250
17311,250
53567,250
64278,250
888,249
3622,249
24174,248
59726,248
33416,247
58851,247
6106,247
31870,246
46768,246
16365,246
13798,246
25929,246
26161,245
17921,245
19089,245
43434,244
49173,244
31451,244
60112,243
19663,243
40572,243
3692,243
11184,242
25770,242
50883,242
40992,242
66785,241
28486,240
61036,240
63448,240
4963,239
56638,239
38802,239
26172,238
15907,238
63674,238
17241,238
55142,237
58411,236
60009,236
15488,234
26201,234
27345,234
55736,234
33173,234
14255,233
17477,233
27591,233
20438,232
51368,231
32859,231
60015,231
3503,230
25578,230
62290,230
54954,229
43567,229
28592,228
34891,228
3144,228
22763,227
40145,227
15563,226
45898,226
2411,226
5756,225
2632,225
40038,225
34254,225
57051,225
9879,225
16247,224
49071,222
66473,222
40021,222
43957,222
38583,222
64570,222
36691,221
13112,221
10972,221
34691,220
42819,220
22330,220
533,219
65745,219
6941,219
12550,218
472,218
52456,218
24003,218
36061,218
44749,218
19246,217
44298,217
10719,217
6442,216
34989,216
56037,216
60199,215
42189,215
22283,215
62766,215
40115,214
33929,214
63303,214
27365,214
21256,214
56070,213
21919,213
11333,211
36738,211
40750,211
28813,211
49825,211
43664,211
56734,210
37185,210
39221,209
10103,209
50270,209
20020,209
49647,209
18465,208
8505,208
14970,208
7235,208
33045,208
43585,208
22704,207
8747,207
6641,207
16948,207
65235,207
65793,206
63253,206
14727,206
46103,205
60327,205
62435,205
6961,204
32762,204
57539,204
29483,203
24894,202
29289,202
9920,202
50333,202
35984,202
52491,202
2298,201
31392,201
4606,201
42479,200
53873,200
31159,200
45903,200
65086,199
2177,199
11043,199
57999,199
55626,198
13738,198
17598,198
46706,197
30577,197
27404,197
8950,197
26884,196
27094,196
30516,196
2475,195
57405,195
40396,195
48124,195
4661,195
28403,194
47753,194
8072,194
59807,193
3297,193
17463,193
45090,193
13312,192
30688,192
63510,191
23425,191
47005,191
60334,191
45693,191
25928,191
12587,190
52876,190
1804,189
63737,189
62622,189
45353,189
3507,188
25722,187
42328,187
19047,186
38792,185
32117,185
31681,185
25140,185
33443,185
64561,185
16262,185
12230,185
48585,184
46116,184
25706,184
36956,184
56156,184
33841,183
16904,183
36544,182
16722,182
63761,182
16582,181
54122,181
16107,181
38370,181
28701,180
11458,180
17756,180
34709,180
38258,180
29123,180
4517,179
35478,179
13567,179
4698,179
27209,179
37099,178
45224,178
24041,178
61173,178
47953,177
15734,177
576,176
66896,176
16747,176
46102,176
31665,175
62668,175
38654,175
59339,175
22474,174
16806,174
31477,173
35909,173
37069,173
30673,173
20543,173
20588,173
52145,173
43960,173
25649,173
2140,172
54740,172
37325,172
51506,171
11434,171
16025,170
65221,170
20815,170
45286,169
18861,169
46740,169
24559,169
33712,169
32706,169
66386,169
56777,168
26303,168
64709,168
1909,168
2628,168
44155,168
27564,167
63314,167
53857,167
64552,167
40923,167
58576,167
52655,166
17403,166
19181,166
65997,165
14719,165
3510,165
33749,165
60160,165
29534,165
54888,165
56028,164
51157,164
57042,164
64392,164
4788,163
61455,163
49793,163
61441,163
47120,163
51436,163
44652,163
10848,163
66635,162
6397,162
51421,162
20128,162
280,162
21706,162
39794,161
42199,161
56918,161
44610,161
66194,161
19548,160
19407,160
18629,159
66962,159
3359,159
10697,159
47969,158
18323,158
935,158
4749,158
4413,158
58306,157
46801,157
684,157
44579,157
37682,157
25476,156
48646,156
16529,156
56120,156
9174,156
9075,156
39621,156
33576,156
12686,155
22356,155
31331,155
51332,155
66747,154
38341,153
30941,153
46285,153
3330,153
42898,153
32102,153
56380,152
50559,152
45406,152
43826,152
1623,152
43781,152
25729,151
16972,151
3485,151
39463,151
66731,151
5911,151
55959,151
46903,151
13558,151
64124,151
25586,150
50099,150
66133,150
13229,150
9088,150
32543,150
13696,150
35767,149
50680,149
15772,149
42338,148
65329,148
2544,148
39457,148
61570,147
45964,147
61632,147
31924,147
3257,147
47372,146
36581,146
19836,146
36029,146
59748,146
10574,146
14513,146
58380,145
15559,145
54698,145
54140,145
62816,145
41373,144
17524,144
6441,144
24721,144
27317,143
29503,143
41678,143
60479,143
2796,142
16893,142
53795,142
21081,142
41519,141
52934,141
28989,141
6962,141
30448,141
60498,141
43267,141
2870,141
62102,141
65038,141
24412,141
16700,140
36905,140
64522,140
24413,140
58043,140
55175,140
64142,140
39428,140
47094,139
62458,139
36900,139
2458,139
32395,139
6623,138
12677,138
16361,138
4924,138
44072,138
20869,138
5185,138
9246,138
24404,138
52505,137
25982,137
35492,137
18202,137
28050,137
66288,136
23951,136
66990,136
1678,136
4524,136
13145,136
48602,136
38367,136
65851,136
28408,136
18502,135
46260,135
43102,135
47842,135
13740,135
65476,135
731,135
62924,134
16038,134
29270,134
41238,134
64181,134
7057,134
64954,134
15579,134
48896,134
46369,134
40531,133
50613,133
65759,133
35747,133
22916,133
49570,133
58007,132
31101,132
10722,132
67103,131
37102,131
18468,131
45445,131
33659,131
56566,131
58134,131
34327,131
3730,131
14767,131
53075,131
4001,131
24245,131
32836,131
58714,130
49738,130
36783,130
49758,130
41568,130
36071,130
58836,130
29642,130
10864,130
7475,129
7305,129
28961,129
36293,129
13669,129
24553,129
50235,128
19828,128
40767,128
49371,128
64214,128
60937,128
66683,128
53367,128
7890,128
81,127
66378,127
64498,127
52511,127
41230,127
49586,127
26359,127
19045,126
45085,126
34076,126
19335,126
47463,126
20705,126
4609,126
20036,126
9635,126
59564,126
52262,125
35987,125
1918,125
39627,125
62093,125
24812,124
51582,124
27731,124
16941,124
64028,124
54548,124
15332,124
9714,124
36872,124
22478,123
29072,123
52685,123
52402,123
10566,123
53868,123
33235,123
36928,123
30114,123
66527,123
23713,123
53734,123
54619,123
11029,123
27334,122
13159,122
12623,122
19788,122
19516,122
37398,122
32211,122
66769,122
8358,122
61871,122
13940,122
64575,122
63430,121
10766,121
40664,121
59636,121
66593,121
34233,121
36436,121
6217,121
39934,121
41268,121
30645,120
63483,120
39168,120
30508,120
41443,120
3474,120
60304,120
14672,120
54557,119
17987,119
20363,119
10387,119
29653,119
31153,119
57670,119
60489,118
56523,118
2754,118
58578,118
12251,118
10331,118
38442,118
10943,118
28105,117
18727,117
2880,117
16653,117
33062,117
62,117
53117,117
58456,117
41649,117
28168,117
13225,117
14078,117
42889,116
58392,116
24066,116
45299,116
2484,116
25181,116
30272,115
66471,115
49042,115
59228,115
2515,115
61839,115
10398,115
48631,115
20841,115
59438,115
25456,115
28821,114
6857,114
2621,114
2382,114
18869,114
4084,114
4738,114
13341,114
55715,114
14430,114
813,113
56319,113
39813,113
7997,113
11520,113
55680,113
64791,113
43903,113
29430,113
43045,113
10465,113
67016,113
48061,113
60278,113
8006,113
4185,112
52284,112
45733,112
60535,112
66416,112
2786,112
59875,112
21230,112
59650,112
33944,111
30641,111
35053,111
3873,111
6763,110
65942,110
59790,110
1617,110
13384,110
7377,110
12607,110
15104,110
36606,110
14044,110
39343,110
53128,110
50932,110
11718,110
53234,109
14741,109
62939,109
23564,109
45392,109
29580,109
5055,109
51414,109
304,109
60808,109
26676,109
38631,109
13856,109
41344,109
55072,109
63346,109
1214,109
50846,108
49654,108
25333,108
50894,108
42430,108
64069,108
42745,108
18264,108
26815,108
60088,107
1891,107
26748,107
39787,107
3604,107
21885,107
46334,107
60231,107
51517,107
47195,107
21937,107
21491,107
56993,107
14793,106
67179,106
26816,106
9802,106
52041,106
32877,106
58894,106
22954,106
63906,106
4173,106
28428,106
9492,106
54298,106
66032,106
34695,105
66650,105
44668,105
42125,105
27601,105
22025,105
62561,105
14092,105
36623,105
12932,105
3465,105
8073,105
52977,104
35817,104
37040,104
14795,104
42905,104
42834,104
44289,104
18748,104
29526,104
27857,104
51980,104
29400,104
15448,103
19230,103
12209,103
46029,103
18736,103
18372,103
20935,102
44370,102
84,102
49603,102
44972,102
62828,102
10930,102
51002,102
30989,102
43355,102
60319,102
28137,102
49005,102
3963,101
32355,101
30029,101
11858,101
24234,101
11628,101
20947,101
25149,101
50473,101
52356,101
66819,101
39773,101
23196,101
847,101
23041,101
40289,100
37329,100
52372,100
24419,100
2622,100
33386,100
45347,100
34475,100
45332,100
44271,100
47941,100
38907,99
30359,99
5272,99
8265,99
43008,99
56193,99
44016,99
43972,99
35173,99
1673,99
19091,99
7614,99
42379,99
14005,99
66154,99
1961,99
2706,99
15019,98
150,98
48139,98
40372,98
65231,98
64470,98
50327,98
16104,98
748,98
65855,98
17848,98
52464,98
62412,98
36090,97
41013,97
30492,97
64368,97
59363,97
34663,97
33163,97
47691,97
57913,97
6974,97
62452,97
37440,97
32928,97
65787,97
44568,96
35583,96
65410,96
55482,96
11373,96
26901,96
33311,96
65948,96
22288,96
59805,96
59747,96
42047,96
29081,95
28433,95
39358,95
60253,95
64452,95
49001,95
52246,95
25462,95
34532,95
13813,95
53845,95
51247,95
7959,95
27250,94
27619,94
15014,94
3721,94
34362,94
63557,94
24692,94
28964,94
17923,94
28875,94
27659,93
13052,93
51364,93
8095,93
37644,93
18604,93
61787,93
56060,93
38039,93
39344,93
47536,93
12706,93
43486,93
28378,93
11446,93
47827,93
16623,93
47314,93
4447,93
44644,93
16538,92
19918,92
50481,92
10588,92
28623,92
20478,92
56007,92
7505,92
7865,92
10172,92
66352,92
38780,92
6377,91
9623,91
4048,91
3898,91
45701,91
21183,91
51035,91
58734,91
53520,91
63538,91
40429,91
62296,91
44761,91
44562,91
65372,91
27077,91
64280,91
42500,91
2259,90
13950,90
61760,90
16606,90
62113,90
42124,90
63991,90
62416,90
26284,90
51108,90
56413,90
38735,90
1343,90
44529,90
4111,89
44042,89
21308,89
57586,89
990,89
6204,89
30954,89
32361,89
61996,89
54238,89
30853,89
32445,89
13455,89
51727,89
17091,89
43899,89
62625,89
6373,88
36260,88
34282,88
26961,88
62938,88
17245,88
17214,88
880,88
46584,88
9025,88
13679,88
62629,88
19542,88
12165,88
61229,88
56892,88
56133,88
61215,87
53157,87
26955,87
30221,87
60374,87
58546,87
39580,87
60879,87
14248,87
424,87
49338,87
46468,87
56495,87
26813,87
15310,87
37339,87
0,87
964,86
42127,86
53600,86
23217,86
63498,86
38817,86
50137,86
41688,86
66512,86
20584,86
39533,86
40338,86
46945,86
1599,86
34639,86
29605,86
5851,85
21222,85
28876,85
61176,85
24942,85
14624,85
10472,85
24969,85
49942,85
17977,85
46720,85
52425,85
61,85
20541,85
13161,85
41903,85
61369,84
17983,84
29424,84
5081,84
14088,84
22122,84
56254,84
32129,84
15642,84
54042,84
41860,84
41965,84
26546,84
11156,84
22645,84
52706,84
6359,84
11736,84
19002,84
38834,83
56493,83
13063,83
59364,83
17655,83
9014,83
23983,83
3902,83
54430,83
38605,83
12070,83
44760,83
20606,83
26831,83
32916,83
61227,83
28296,83
18809,83
37320,83
36020,83
6333,83
56612,82
44403,82
31886,82
16615,82
61469,82
47903,82
27344,82
18955,82
7659,82
54798,82
55150,82
17095,82
63895,82
4550,82
41075,82
13368,82
1445,82
28343,82
4151,82
1980,82
13656,82
19898,82
35018,82
54158,82
36708,82
47934,81
65003,81
15564,81
54029,81
30169,81
29134,81
66494,81
64824,81
1207,81
55653,81
2129,81
5985,81
42894,81
4116,81
40201,81
20786,81
12782,81
25425,81
40012,80
3749,80
27241,80
18937,80
13050,80
12762,80
48647,80
67026,80
43237,80
3240,80
20792,80
57135,80
45805,80
64295,80
47675,80
60017,80
17832,80
